iter	Passed	Remaining
814	416946	94644
815	417439	94128
816	417939	93614
817	418440	93100
818	418941	92586
819	419450	92074
820	419951	91560
821	420457	91047
822	420973	90537
823	421490	90027
824	421994	89513
825	422497	89000
826	423001	88487
827	423513	87976
828	424020	87463
829	424534	86952
830	425041	86440
831	425554	85929
832	426063	85417
833	426568	84904
834	427074	84392
835	427585	83880
836	428090	83367
837	428596	82855
838	429098	82341
839	429611	81830
840	430136	81321
841	430647	80810
842	431159	80298
843	431673	79787
844	432171	79274
845	432672	78760
846	433178	78248
847	433674	77734
848	434178	77221
849	434686	76709
850	435189	76196
851	435693	75683
852	436201	75171
853	436710	74660
854	437223	74149
855	437728	73636
856	438234	73124
857	438738	72611
858	439245	72099
859	439749	71587
860	440257	71075
861	440762	70562
862	441266	70050
863	441770	69537
864	442280	69026
865	442787	68514
866	443294	68002
867	443799	67490
868	444306	66978
869	444810	66465
870	445321	65954
871	445826	65442
872	446339	64931
873	446844	64419
874	447361	63908
875	447865	63396
876	448367	62883
877	448870	62371
878	449372	61859
879	449878	61347
880	450383	60834
881	450893	60323
882	451398	59811
883	451897	59298
884	452400	58786
885	452909	58275
886	453421	57763
887	453923	57251
888	454431	56740
889	454935	56228
890	455451	55717
891	455961	55206
892	456472	54694
893	456969	54182
894	457466	53669
895	457981	53158
896	458487	52646
897	458991	52134
898	459502	51623
899	460011	51112
900	460513	50600
901	461021	50088
902	461538	49578
903	462044	49066
904	462549	48554
905	463066	48044
906	463574	47533
907	464083	47021
908	464592	46510
909	465095	45998
910	465597	45486
911	466111	44975
912	466627	44465
913	467137	43953
914	467640	43442
915	468146	42930
916	468657	42419
917	469176	41909
918	469688	41397
919	470198	40886
920	470706	40375
921	471223	39864
922	471735	39353
923	472242	38842
924	472746	38330
925	473256	37819
926	473766	37308
927	474278	36797
928	474779	36285
929	475282	35773
930	475787	35262
931	476284	34750
932	476782	34238
933	477277	33726
934	477771	33214
935	478271	32702
936	478768	32190
937	479272	31679
938	479783	31168
939	480284	30656
940	480802	30145
941	481317	29635
942	481829	29124
943	482340	28613
944	482847	28102
945	483362	27591
946	483864	27080
947	484375	26569
948	484884	26058
949	485394	25547
950	485900	25035
951	486405	24524
952	486915	24013
953	487425	23502
954	487932	22991
955	488435	22480
956	488943	21969
957	489450	21458
958	489959	20947
959	490468	20436
960	490970	19924
961	491481	19414
962	491986	18902
963	492497	18392
964	493001	17880
965	493500	17369
966	494002	16858
967	494504	16347
968	495004	15836
969	495509	15325
970	496010	14813
971	496525	14303
972	497027	13792
973	497536	13281
974	498047	12770
975	498552	12259
976	499064	11748
977	499568	11237
978	500077	10726
979	500592	10216
980	501105	9705
981	501609	9194
982	502115	8683
983	502623	8172
984	503129	7661
985	503636	7151
986	504147	6640
987	504658	6129
988	505168	5618
989	505674	5107
990	506193	4597
991	506698	4086
992	507214	3575
993	507732	3064
994	508246	2554
995	508751	2043
996	509259	1532
997	509766	1021
998	510272	510
999	510781	0
